,user_id,item_predict
0,17339592,22761166 170762091 73744766 197688264 52290353 275225046 83158705 32932416 93050507 170808746 55056022 102107969
1,16435494,73570874 23851539 21972366 154173067 247445332 271540414 275225043 114194298 186202525 167937715 8448586 172474870
2,14561714,141986699 138750873 69989394 190468598 72641169 66609455 273298860 52290353 54158651 275225081 108568459 102107969
3,27002170,54073357 195316171 38080465 94808227 102107969 171922750 109840857 184920345 170762091 205713374 164550314 46698977
4,7234078,8448586 275225054 217176858 50713741 22543488 275225034 157016976 275225058 176599682 271540414 205459325 174167552
5,12651861,114194298 164223955 195316171 275225065 45480982 8448586 212321323 90483814 172446338 275225058 275225081 138749405
6,18655026,16154389 164313025 271540414 77075739 195316171 164084313 275225081 272362509 196174372 49268992 75420641 46148092
7,899162,203109958 164251651 108568459 172477180 240590870 214887627 75424785 275225076 172445606 22774705 51477300 58221635
8,8316515,52290353 46148092 275225053 72641169 217176888 178779717 164550791 130362471 212321323 275225076 167937610 247445332
9,20759316,170808779 275175461 22774390 44112983 179206519 102800015 263369737 44579670 7360209 75401284 82528875 89479359
10,9045258,23452876 212469874 165176786 275175461 26081106 51477300 107411611 7697471 197536148 172445606 164550791 20329891
11,7947923,172908253 121649229 120427448 74404407 212321323 247445332 164550568 178779717 172283830 117083142 103076103 19364741
12,19774514,54158651 177637414 171020555 8448374 50231490 170808779 164082385 159000911 172474870 140107331 7958836 179206519
13,16938194,16154358 130301550 51488651 171020249 164551063 110700063 54073357 275225078 110308041 115275838 22761166 229972422
14,12567447,14351068 102800015 53135977 52254550 110700063 195192891 172284477 170808746 107709913 134025169 50231490 214887627
15,16378845,275225060 39088060 22835214 275225049 134735314 274159435 102905137 184826959 172321301 258379041 22774705 275225064
16,26939082,179062565 6306239 275225031 203145770 197536148 41267696 108763287 275225056 196174372 204283018 69500507 8448556
17,16767409,66609074 7958775 130362474 176251118 272623327 275225064 115269586 275024495 171020215 121095190 215601923 108761942
